case,n,m,r,threads,version,best,average,worst
1,10,10,100,8,12,1429,1529,1648
1,10,10,100,8,13,352,376,391
1,10,10,100,8,14,75,83,101
1,10,10,100,8,15,55,58,60
1,10,10,100,8,16,71,75,79
1,10,10,100,8,17,55,60,79
1,10,10,100,9,0,24,35,51
1,10,10,100,9,1,8,15,52
1,10,10,100,9,2,10,10,14
1,10,10,100,9,3,2009,2249,2430
1,10,10,100,9,4,1737,2239,2421
1,10,10,100,9,5,9,9,12
1,10,10,100,9,6,2272,2391,2555
1,10,10,100,9,7,11,14,18
1,10,10,100,9,8,2026,2205,2501
1,10,10,100,9,9,2242,2369,2515
1,10,10,100,9,10,1944,2167,2461
1,10,10,100,9,11,1967,2351,2816
1,10,10,100,9,12,1902,2117,2283
1,10,10,100,9,13,382,396,426
1,10,10,100,9,14,50,78,88
1,10,10,100,9,15,52,55,60
1,10,10,100,9,16,46,76,96
1,10,10,100,9,17,51,54,58
1,10,10,100,10,0,36,38,53
1,10,10,100,10,1,8,9,20
1,10,10,100,10,2,10,10,13
1,10,10,100,10,3,2236,2428,2911
1,10,10,100,10,4,2133,2253,2473
1,10,10,100,10,5,8,9,11
1,10,10,100,10,6,2143,2267,2574
1,10,10,100,10,7,8,12,22
1,10,10,100,10,8,2194,2442,3955
1,10,10,100,10,9,2212,2820,6545
1,10,10,100,10,10,2199,2452,3187
1,10,10,100,10,11,2164,2485,4560
1,10,10,100,10,12,2134,2737,6738
1,10,10,100,10,13,394,407,428
1,10,10,100,10,14,47,49,52
1,10,10,100,10,15,49,50,55
1,10,10,100,10,16,45,48,53
1,10,10,100,10,17,47,49,52
1,10,10,100,11,0,37,38,52
1,10,10,100,11,1,8,17,54
1,10,10,100,11,2,10,15,33
1,10,10,100,11,3,2265,3269,6298
1,10,10,100,11,4,2021,2816,4823
1,10,10,100,11,5,8,9,13
1,10,10,100,11,6,2071,2293,2656
1,10,10,100,11,7,11,13,23
1,10,10,100,11,8,2257,2681,4006
1,10,10,100,11,9,2089,2227,2639
1,10,10,100,11,10,2229,2416,2858
1,10,10,100,11,11,2088,2299,3111
1,10,10,100,11,12,2237,2411,2800
1,10,10,100,11,13,411,418,441
1,10,10,100,11,14,49,50,54
1,10,10,100,11,15,46,47,49
1,10,10,100,11,16,47,48,51
1,10,10,100,11,17,45,51,104
1,10,10,100,12,0,36,37,41
1,10,10,100,12,1,8,11,20
1,10,10,100,12,2,9,10,15
1,10,10,100,12,3,2317,2806,4691
1,10,10,100,12,4,1912,2390,5260
1,10,10,100,12,5,8,9,19
1,10,10,100,12,6,1939,2377,5694
1,10,10,100,12,7,9,10,15
1,10,10,100,12,8,2325,2519,3310
1,10,10,100,12,9,1964,2561,4473
1,10,10,100,12,10,2305,3058,4427
1,10,10,100,12,11,1959,2105,2670
1,10,10,100,12,12,2287,2409,2829
1,10,10,100,12,13,408,416,429
1,10,10,100,12,14,48,49,52
1,10,10,100,12,15,43,47,72
1,10,10,100,12,16,46,49,64
1,10,10,100,12,17,41,42,43
2,10,10,1000,1,0,220,329,442
2,10,10,1000,1,1,293,425,573
2,10,10,1000,1,2,277,412,550
2,10,10,1000,1,3,2468,3311,4276
2,10,10,1000,1,4,2624,3585,5222
2,10,10,1000,1,5,340,460,651
2,10,10,1000,1,6,2498,3268,4432
2,10,10,1000,1,7,299,412,626
2,10,10,1000,1,8,4040,5282,7976
2,10,10,1000,1,9,3813,5239,7869
2,10,10,1000,1,10,3871,5185,7899
2,10,10,1000,1,11,3702,4832,7100
2,10,10,1000,1,12,2685,3366,4524
2,10,10,1000,1,13,1473,2006,3076
2,10,10,1000,1,14,1809,2447,3905
2,10,10,1000,1,15,1971,2510,3870
2,10,10,1000,1,16,1892,2755,4150
2,10,10,1000,1,17,1656,2528,3807
2,10,10,1000,2,0,232,275,447
2,10,10,1000,2,1,152,196,413
2,10,10,1000,2,2,151,181,360
2,10,10,1000,2,3,5476,9327,10559
2,10,10,1000,2,4,5647,8158,9027
2,10,10,1000,2,5,160,176,215
2,10,10,1000,2,6,7722,8794,9491
2,10,10,1000,2,7,136,165,299
2,10,10,1000,2,8,5521,7042,8028
2,10,10,1000,2,9,5096,6981,7782
2,10,10,1000,2,10,5222,7498,8337
2,10,10,1000,2,11,5336,7203,7959
2,10,10,1000,2,12,4475,7637,8900
2,10,10,1000,2,13,1710,2254,3959
2,10,10,1000,2,14,986,1403,2551
2,10,10,1000,2,15,1067,1390,2598
2,10,10,1000,2,16,1036,1305,2486
2,10,10,1000,2,17,1076,1304,2632
2,10,10,1000,3,0,267,315,462
2,10,10,1000,3,1,135,190,273
2,10,10,1000,3,2,110,175,248
2,10,10,1000,3,3,12028,14509,16512
2,10,10,1000,3,4,12627,14519,15559
2,10,10,1000,3,5,111,171,234
2,10,10,1000,3,6,12992,14294,16341
2,10,10,1000,3,7,115,178,258
2,10,10,1000,3,8,11597,12954,14597
2,10,10,1000,3,9,12320,13898,14876
2,10,10,1000,3,10,11296,13203,14221
2,10,10,1000,3,11,12470,13742,15029
